texts;coherence_results;consistency_results;relevance_results;fluency_results;comments
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today. She's going to meet Tom and they're going to eat something in the town. Elena wishes her all the best and hopes all her dreams come true.;5;5;4;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today . She's going to meet Tom and they're going to eat something in the town . Elena wishes her all the best .;5;5;4;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Dorothea is going to celebrate her birthday with Tom and they are going to eat something in the town. Elena wishes her all the best. They will see each other on Saturday.;5;5;5;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Dorothea has birthday today. She's going to meet Tom and they're going to eat something in the town.;4;5;4;1;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> cheryl had an argument with her mom . she forgot to close the window , got angry and started a fight . her mom gave her time till the end of the year to move out .";5;5;5;5;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl: I suppose yea, she kicked me out xd Louis: WHAT Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year Louis: I’m sorry… Cheryl: Naah, don’t be, I believe it’s for good. Cheryl: yea, sort of… Louis: Go on, tell me what happened Cheryl: I…just had an argument with my mom Louis: Jesus what again Cheryl: I forgot to close the window when I was leaving home! Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ Louis: not a good idea, babe Cheryl: I knoooow  Louis: Was it really bad?";1;4;2;2;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Louis: Hey, hows your day? :D Cheryl: Okaaay… I guess Louis: Aha, someone’s feeling a bit down, am I right? Cheryl: yea, sort of… Louis: Go on, tell me what happened Cheryl: I…just had an argument with my mom Louis: Jesus what again Cheryl: I forgot to close the window when I was leaving home!";1;3;2;2;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl has just had an argument with Jesus what again . Louis got angry and started screaming out .";5;1;1;5;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Dylan had an argument with her mom and Cheryl. Louis is not feeling well. Louis offers her a photo after she started taking care.";2;1;1;2;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mother. She kicked her out.";4;4;3;4;Tricky to decide how harshly to judge grammatical imperfections
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom and she was kicked out.";4;5;4;5;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mother . She forgot to close the window when she was leaving home . She kicked her out . She had time till the end of the year .";4;5;4;4;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom and forgot to close the window. She forgot to close the window. She was kicked out, but she has time till the end of the year.";4;5;5;3;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom because she forgot to close the window when she was leaving home. She got angry, started screaming and she was kicked out. She doesn't have to move until the end of the year.";5;5;5;5;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom. She forgot to close the window when she was leaving home. Her mom kicked her out. She gave her time till the end of the year.";5;5;5;5;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom and she kicked her out . She doesn't have to move right now , but she gave her time till the end of the year .";4;5;5;3;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom. She forgot to close the window when she was leaving home. She got angry and started screaming. Her mom kicked her out. She gave her time till the end of the year.";4;5;5;4;Any comments?
"<br><br> Louis: Hey, hows your day? :D <br><br> Cheryl: Okaaay… I guess <br><br> Louis: Aha, someone’s feeling a bit down, am I right? <br><br> Cheryl: yea, sort of… <br><br> Louis: Go on, tell me what happened <br><br> Cheryl: I…just had an argument with my mom <br><br> Louis: Jesus what again <br><br> Cheryl: I forgot to close the window when I was leaving home! <br><br> Louis: And that’s it? <br><br> Cheryl: No, not only… Ya know, wouldn’t be that bad, but I got angry, started screaming and everything ;/ <br><br> Louis: not a good idea, babe <br><br> Cheryl: I knoooow  <br><br> Louis: Was it really bad?  <br><br> Cheryl: I suppose yea, she kicked me out xd <br><br> Louis: WHAT <br><br> Cheryl: I mean I don’t have to move right now, but she gave me time till the end of the year <br><br> Louis: I’m sorry… <br><br> Cheryl: Naah, don’t be, I believe it’s for good. I couldn’t stand her anyway xD <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Cheryl had an argument with her mom. She forgot to close the window when she was leaving home. She was kicked out. Louis is sorry.";5;5;4;5;Any comments?
<br><br> Kim: Hey Ben, I see you are online today. <br><br> Ben: Hey <br><br> Kim: You are offly quite this days did you know that? <br><br> Ben: Nothing just having a downtime. <br><br> Kim: What’s that got on your post? <br><br> Ben: I think an internet place is look for programmers, Am I reading this right?? <br><br> Kim: Let me see,.. You are right. <br><br> Ben: Umhh.. <br><br> Kim: What are doing tonight Ben, pizza with coke ? Like we did it last time? <br><br> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? <br><br> Kim: Sure, So, will I see you tonight. <br><br> Ben: I will give you a call. <br><br> Kim: I'll be waiting.. <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> ben is having a downtime , isn't very talkative . kim wants to see ben tonight but he has to rain check .;4;5;4;4;Any comments?
<br><br> Kim: Hey Ben, I see you are online today. <br><br> Ben: Hey <br><br> Kim: You are offly quite this days did you know that? <br><br> Ben: Nothing just having a downtime. <br><br> Kim: What’s that got on your post? <br><br> Ben: I think an internet place is look for programmers, Am I reading this right?? <br><br> Kim: Let me see,.. You are right. <br><br> Ben: Umhh.. <br><br> Kim: What are doing tonight Ben, pizza with coke ? Like we did it last time? <br><br> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? <br><br> Kim: Sure, So, will I see you tonight. <br><br> Ben: I will give you a call. <br><br> Kim: I'll be waiting.. <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? Ben: I think an internet place is look for programmers, Am I reading this right?? Ben: Hey Kim: You are offly quite this days did you know that?;1;5;1;3;How to deal with this instance where the original is grammatically shabby. Extractive models will copy that and thus be punished for it in evaluation
<br><br> Kim: Hey Ben, I see you are online today. <br><br> Ben: Hey <br><br> Kim: You are offly quite this days did you know that? <br><br> Ben: Nothing just having a downtime. <br><br> Kim: What’s that got on your post? <br><br> Ben: I think an internet place is look for programmers, Am I reading this right?? <br><br> Kim: Let me see,.. You are right. <br><br> Ben: Umhh.. <br><br> Kim: What are doing tonight Ben, pizza with coke ? Like we did it last time? <br><br> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? <br><br> Kim: Sure, So, will I see you tonight. <br><br> Ben: I will give you a call. <br><br> Kim: I'll be waiting.. <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Kim: Hey Ben, I see you are online today. Ben: Hey Kim: You are offly quite this days did you know that? Ben: Nothing just having a downtime.;2;5;1;3;Any comments?
<br><br> Kim: Hey Ben, I see you are online today. <br><br> Ben: Hey <br><br> Kim: You are offly quite this days did you know that? <br><br> Ben: Nothing just having a downtime. <br><br> Kim: What’s that got on your post? <br><br> Ben: I think an internet place is look for programmers, Am I reading this right?? <br><br> Kim: Let me see,.. You are right. <br><br> Ben: Umhh.. <br><br> Kim: What are doing tonight Ben, pizza with coke ? Like we did it last time? <br><br> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? <br><br> Kim: Sure, So, will I see you tonight. <br><br> Ben: I will give you a call. <br><br> Kim: I'll be waiting.. <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Ben has having a downtime . Kim will call Ben tonight .;3;3;4;5;Any comments?
<br><br> Kim: Hey Ben, I see you are online today. <br><br> Ben: Hey <br><br> Kim: You are offly quite this days did you know that? <br><br> Ben: Nothing just having a downtime. <br><br> Kim: What’s that got on your post? <br><br> Ben: I think an internet place is look for programmers, Am I reading this right?? <br><br> Kim: Let me see,.. You are right. <br><br> Ben: Umhh.. <br><br> Kim: What are doing tonight Ben, pizza with coke ? Like we did it last time? <br><br> Ben: Oh no no we have got do that again for sure, do you mind if I get a rain check? <br><br> Kim: Sure, So, will I see you tonight. <br><br> Ben: I will give you a call. <br><br> Kim: I'll be waiting.. <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Kim, Kim and Kim will meet tonight at the internet today.;4;1;1;3;Any comments?
